"Date","Price","Open","High","Low","Vol.","Change %"
"23-06-2023","18,665.50","18,741.85","18,756.40","18,647.10","210.56B","-0.56%"
"22-06-2023","18,771.25","18,853.60","18,886.60","18,759.50","252.70B","-0.45%"
"21-06-2023","18,856.85","18,849.40","18,875.90","18,794.85","217.48B","0.21%"
"20-06-2023","18,816.70","18,752.35","18,839.70","18,660.65","211.65B","0.33%"
"19-06-2023","18,755.45","18,873.30","18,881.45","18,719.15","219.82B","-0.37%"
"16-06-2023","18,826.00","18,723.30","18,864.70","18,710.50","272.77B","0.74%"
"15-06-2023","18,688.10","18,774.45","18,794.10","18,669.05","263.00B","-0.36%"
"14-06-2023","18,755.90","18,744.60","18,769.70","18,690.00","261.35B","0.21%"
"13-06-2023","18,716.15","18,631.80","18,728.90","18,631.80","233.17B","0.62%"
"12-06-2023","18,601.50","18,595.05","18,633.60","18,559.75","179.46B","0.21%"
"09-06-2023","18,563.40","18,655.90","18,676.65","18,555.40","221.76B","-0.38%"
"08-06-2023","18,634.55","18,725.35","18,777.90","18,615.60","286.47B","-0.49%"
"07-06-2023","18,726.40","18,665.60","18,738.95","18,636.00","260.11B","0.68%"
"06-06-2023","18,599.00","18,600.80","18,622.75","18,531.60","220.79B","0.03%"
"05-06-2023","18,593.85","18,612.00","18,640.15","18,582.80","256.11B","0.32%"
"02-06-2023","18,534.10","18,550.85","18,573.70","18,478.40","270.92B","0.25%"
"01-06-2023","18,487.75","18,579.40","18,580.30","18,464.55","265.63B","-0.25%"
"31-05-2023","18,534.40","18,594.20","18,603.90","18,483.85","696.50B","-0.53%"
"30-05-2023","18,633.85","18,606.65","18,662.45","18,575.50","234.39B","0.19%"
"29-05-2023","18,598.65","18,619.15","18,641.20","18,581.25","265.32B","0.54%"
"26-05-2023","18,499.35","18,368.35","18,508.55","18,333.15","198.67B","0.97%"
"25-05-2023","18,321.15","18,268.90","18,338.10","18,202.40","235.92B","0.20%"
"24-05-2023","18,285.40","18,294.80","18,392.60","18,262.95","232.62B","-0.34%"
"23-05-2023","18,348.00","18,362.90","18,419.75","18,324.20","270.35B","0.18%"
